 MUH                   GUF0001341UTG120030212             -0000000003709000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUV100001341
 366800155160163102    GUF0001341    20030131             +0000000025975000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             -0000000025975000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             +0000000025975000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800155160163103    GUF0001341    20030131             +0000000005344000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             -0000000005344000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             +0000000005344000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800385160163714    GUF0001341    20030131             +0000000150248750                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             -0000000150248750                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             +0000000150248750                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800385160163715    GUF0001341    20030131             +0000000589079000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             -0000000589079000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             +0000000589079000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800385160163717    GUF0001341    20030131             +0000000461549000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             -0000000461549000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             +0000000461549000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800385160163718    GUF0001341    20030131             +0000000020468000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             -0000000020468000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             +0000000020468000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800385160163719    GUF0001341    20030131             +0000000045740000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             -0000000045740000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             +0000000045740000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800385160163721    GUF0001341    20030131             +0000000108599000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             -0000000108599000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             +0000000108599000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800385160163722    GUF0001341    20030131             +0000000176418500                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             -0000000176418500                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             +0000000176418500                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800385160164029    GUF0001341    20030131             +0000000026444750                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             -0000000026444750                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             +0000000026444750                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
